name,difficulty,description,category,image_url,id,created_date,updated_date,created_by_id,is_sample
"Kategória","nehéz","A játék választ egy kategóriát és erre az első embernek kell mondani rá egy szót ami abba a kategóriába beleillik. Ez után a következő játékosnak az előző szónak az utolsó betűjével kell egy szót mondania. Az aki először hibázik az iszik. 5 másodperc a megengedett gondolkodási idő.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/21cd10e7c_034-chat.png","6a140acee2cbe8dee6d30a42","2026-05-25T08:39:42.625000","2026-05-26T08:44:55.957000","anonymous","false"
"Hajime","nehéz","Számolj helyesen. El kell kezdeni számolni 1-től és ha 5-el vagy 7-el osztható a szám vagy szerepel benne az 5 vagy a 7 akkor 'hajime'-t kell mondani. Aki eltéveszti az iszik. Egy plúsz csavar van benne minden egyes 'hajime' után megfordul a kör.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/ed7ba4369_013-laugh.png","6a140ace08791e595119af4b","2026-05-25T08:39:42.624000","2026-05-26T08:44:40.054000","anonymous","false"
"Kő Papír Olló","nehéz","Annyi kört kell játszani ahány játékos van. Kell egy kezdő ember aki kihivja a mellette ülőt ezt a játék választja ki. Ha te nyersz akkor ő iszik és az ő mellette ülővel kell játszania. Ha te vesztesz akkor a te melletted ülővel kell játszanod. Ha döntetlen akkor mind a ketten isztok.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/717d78f62_026-fist.png","6a140acecc79ba61b4cb4fba","2026-05-25T08:39:42.603000","2026-05-25T08:39:42.603000","anonymous","false"
"Finger It","könnyű","Minden játékos az asztalra rakja a mutató ujját. Aztuk számolni kezd az első ember akit a játék választ ki: 1, 2, 3 – ekkor hirtelen mindenkinek el kell vennie az ujját az asztalról, vagy rajta hagyja. A lényeg hogy pontosan annyi ujj maradjon az asztalon ahány szám be lett mondva. Ha eltalálod akkor mindenki más iszik. Ha nem találod el akkor te iszol.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/03d87dd1b_014-sharing.png","6a140acecbc79b4233d949a8","2026-05-25T08:39:42.599000","2026-05-26T08:44:32.030000","anonymous","false"
"Az üveg","közepes","Az app kisorsol egy játékost akinek meg kell pörgetnie az üveget. Akire az üveg az asztalnl mutat annak kell innia.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/b3ebed6db_012-beer.png","6a140ace87c98d3ee79efa27","2026-05-25T08:39:42.592000","2026-05-26T08:44:21.414000","anonymous","false"
"Zene Felismerés","közepes","A játékban egy zenét fog a játékos hallani 5 másodpercig. Ez után ki kell találni hogy ki az előadó és mi a szám címe. Ha a kettőből az egyik sikerül akkor nem kell innia. Ha mind a kettőt sikeresen kitalálja akkor kioszthat egy piát. Ha egyiket sem tudja akkor neki kell innia.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/c6e7b8a7f_021-listener.png","6a140acee9e91b3d9df4a385","2026-05-25T08:39:42.590000","2026-05-26T08:44:12.087000","anonymous","false"
"Lóverseny","közepes","Minden játékos 1-3 egységben fogadhat a négy ló egyikére. A versenylovak a Sárga, a Zöld, a Kék és a Piros. Ha az a ló ér be először akire fogadott, akkor annyi piát kioszthat. Ha nem az nyer akire fogadott, akkor a megtett mennyiséget kell elfogyasztania.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/8892f3ea4_017-origami.png","6a140ace7926f326dcadf7b1","2026-05-25T08:39:42.589000","2026-05-25T08:39:42.589000","anonymous","false"
"5 dolog","könnyű","Az app kisorsol egy játékost aki játszani fog. Meg fog jelenni a képernyőn egy kategória. Ebben a kategóriában kell a játékosnak 5 mp alatt 5 odatartozó szót mondania. Amennyiben ez nem sikerül innia kell.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/fd5a5b716_007-connection.png","6a140ace17d3ba9e5b35e41e","2026-05-25T08:39:42.588000","2026-05-25T08:39:42.588000","anonymous","false"
"Szerencse kerék","közepes","A játék kiválaszt egy játékost akinek meg kell pörgetnie a szerencsekereket. Akit a szerencsekerék kisorsol annak innia kell.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/955f768b7_006-loyalty.png","6a140ace080a7318d24b40fd","2026-05-25T08:39:42.588000","2026-05-25T08:39:42.588000","anonymous","false"
"Én még soha","közepes","Jön egy állitás és ha az igaz rád akkor innod kell, ha nem igaz rád akkor nem kell.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/6c2a1444c_002-mad.png","6a140ace6aaef07bcd71539c","2026-05-25T08:39:42.586000","2026-05-26T08:43:18.230000","anonymous","false"
"Collect and boom","közepes","Az app kisorsol egy játékost aki el fogja kezdeni a kört. A játéktábláról ki kell választania egy cellát. Utána a tőle jobbra ülő fog választani egyet, addig választanak a játékosok ameddig egy bombát találnak – ekkor a játék véget ért és az addig összegyűjtött egységet kell meginnia a vesztesnek.","Csapat","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/fbae429ac_025-add-friend.png","6a140ace29b9c3485ecf99e9","2026-05-25T08:39:42.585000","2026-05-26T08:43:54.283000","anonymous","false"
"Ki Vagyok Én","közepes","Az app mutat egy híresség fotóját és ki kell találni ki van a képen. Ebben a játékban csak egy játékos vesz részt. Ha pontosan meg tudja mondani a híresség életkorát vagy foglalkozását akkor kioszthat egy piát.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/0be64fa0c_033-reunion.png","6a140ace260225ac9e390757","2026-05-25T08:39:42.583000","2026-05-25T08:39:42.583000","anonymous","false"
"Mindenki Iszik Egyszer","könnyű","A játék kiválaszt egy játékost akinek innia kell. Ezt az app sorsolja ki, ha elfogyta az emberek akkor előről megy a kör.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/7721960ea_024-friendship-1.png","6a140aced440dbedeba0de86","2026-05-25T08:39:42.581000","2026-05-25T08:39:42.581000","anonymous","false"
"Igaz Hamis","könnyű","A játékban egy állítás fog megjelenni és el kell dönteni, hogy az igaz, vagy hamis. Ha úgy ítéled meg hogy az állítás igaz, akkor az idő lejárta előtt ezt közölnod kell a többi játékossal akik ez alapján tudjuk eldönteni, hogy jól válaszoltál-e. Ha nem jó a válaszod akkor sajnos innod kell.","Egyéni","https://media.base44.com/images/public/6a13fd728a0d72caf4de8c08/f52ad051b_035-friend.png","6a140ace957edca20a435aaa","2026-05-25T08:39:42.568000","2026-05-25T08:39:42.568000","anonymous","false"
